Sr. no. ,Long,Lat,Time
128,72.97687657,19.18597459,3
129,72.97686162,19.18597301,3
130,72.97686219,19.18597122,3
131,72.9768537,19.18597348,3
132,72.97685444,19.18597067,3
133,72.97687419,19.18599092,3
134,72.9768978,19.18599714,3
135,72.97692087,19.18600474,3
136,72.9769139,19.18599917,3
137,72.97690241,19.18599603,3
138,72.97688536,19.18599407,3
139,72.97689504,19.18599298,3
140,72.97688375,19.18599016,3
141,72.97690218,19.18599407,3
142,72.97691545,19.18599775,3
143,72.97688257,19.18599958,3
144,72.97700702,19.18603581,3
145,72.97704398,19.18602345,3
146,72.97707402,19.18602851,3
147,72.97705257,19.18602142,3
148,72.97706383,19.18600622,3
149,72.97704613,19.18600977,3
150,72.97708636,19.18601635,3
151,72.97712445,19.18602902,4
152,72.97715234,19.18604017,4
153,72.97713725,19.18605263,4
154,72.97712065,19.18605298,4
155,72.97710563,19.18604994,4
156,72.97708914,19.18604323,4
157,72.97708042,19.18604234,4
158,72.97707479,19.18603772,4
159,72.97705792,19.18602858,4
160,72.97706222,19.18601794,4
161,72.97704237,19.18601009,4
162,72.97703378,19.18603643,4
163,72.97702493,19.18603136,4
164,72.97703405,19.18600781,4
165,72.97708126,19.18602554,4
166,72.97710118,19.18603131,4
167,72.97712559,19.18603486,4
168,72.97716393,19.18605849,4
169,72.9771886,19.18607217,4
170,72.97682114,19.18602784,4
171,72.97682704,19.18601948,4
172,72.97683079,19.18600732,4
173,72.97682999,19.18599947,4
174,72.97683455,19.18599618,4
175,72.97683871,19.18599174,4
176,72.97683509,19.18599035,4
177,72.97683321,19.18599491,4
178,72.97683576,19.18598731,4
179,72.97684085,19.18598174,4
180,72.97683575,19.18598554,4
181,72.97683484,19.18599232,4
182,72.97683907,19.18598799,4
183,72.9768387,19.18598243,4
184,72.97684212,19.1859759,4
185,72.97684272,19.18596913,4
186,72.97684681,19.18596558,4
187,72.9768448,19.18596151,4
188,72.97684854,19.18595755,4
189,72.97684801,19.18595342,4
190,72.9768497,19.18594845,4
191,72.97685327,19.18594407,4
192,72.97685398,19.18593699,4
193,72.97685122,19.18594474,4
194,72.97684631,19.18595628,4
195,72.97684765,19.18596437,4
196,72.97686138,19.18592512,4
197,72.9756775,19.18564734,4
198,72.97568073,19.185645,4
199,72.97569005,19.18564608,4
200,72.97568701,19.18564913,4
201,72.97541482,19.18555405,5
202,72.97543394,19.18555638,5
203,72.97545677,19.18556163,5
204,72.97547313,19.18556543,5
205,72.97542351,19.18554922,5
206,72.97541292,19.18555682,5
207,72.97541896,19.18556226,5
208,72.97543506,19.18556834,5
209,72.97544156,19.18556891,5
210,72.97545561,19.18557014,5
211,72.97547521,19.18556628,5
212,72.97546724,19.18555774,5
213,72.97547607,19.18556587,5
214,72.97547628,19.18557319,5
215,72.97547607,19.1855795,5
216,72.97548165,19.18558093,5
217,72.97549921,19.18557155,5
218,72.97549406,19.18556524,5
219,72.97550494,19.18556939,5
220,72.97550065,19.18557749,5
221,72.97541442,19.18558874,5
222,72.97543373,19.18559178,5
223,72.97545143,19.18559684,5
224,72.97542944,19.18559026,5
225,72.97546752,19.18560799,5
226,72.97548469,19.18560774,5
227,72.97534575,19.18555302,5
228,72.97535273,19.18555391,5
229,72.97536014,19.18555604,5
230,72.97536054,19.18555921,5
231,72.97535115,19.18555756,5
232,72.97536838,19.1855596,5
233,72.97536883,19.18555665,5
234,72.97539696,19.18556698,5
235,72.97539807,19.18556951,5
236,72.97540433,19.1855693,5
237,72.9754146,19.18557056,5
238,72.97542948,19.18557487,5
239,72.97543726,19.18557766,5
240,72.97544558,19.18558044,5
241,72.97544343,19.18558222,5
242,72.97545188,19.18558108,5
